word;transcription;translation;class
program;[ʹprəʋgræm];программа;noun
progress;[ʹprəʋgres];прогресс;noun
promise;[ʹprɒmıs];обещание;noun
promise;[ʹprɒmıs];обещать;verb
pronounce;[prəʹnaʋns];произносить;verb
protect;[prəʹtekt];защитить;verb
provide;[prəʹvaıd];обеспечить;verb
pub;[pʌb];паб;noun
public;[ʹpʌblık];общественный;adjective
public;[ʹpʌblık];общественность;noun
publish;[ʹpʌblıʃ];публиковать;verb
pull;[pʋl];вытащить;verb
purpose;[ʹpɜ:pəs];цель;noun
push;[pʋʃ];подтолкнуть;verb
quality;[ʹkwɒlıtı];качество;noun
quantity;[ʹkwɒntıtı];количество;noun
queen;[kwi:n];королева;noun
question;[ʹkwestʃ(ə)n];спросить;verb
quietly;[ʹkwaıətlı];спокойно;adverb
race;[reıs];гонка;noun
race;[reıs];мчаться;verb
railway;[ʹreılweı];магистраль;noun
raise;[reız];поднять;verb
rate;[reıt];ставка;noun
rather;[ʹrɑ:ðə];скорее;adverb
reach;[ri:tʃ];достигнуть;verb
react;[rıʹækt];реагировать;verb
realize;[ʹrıəlaız];понимать;verb
receive;[rıʹsi:v];получать;verb
recent;[ʹri:s(ə)nt];последний;adjective
recently;[ʹri:s(ə)ntlı];недавно;adverb
reception;[rıʹsepʃ(ə)n];прием;noun
recipe;[ʹresıpı];рецепт;noun
recognize;[ʹrekəgnaız];признать;verb
recommend;[͵rekəʹmend];рекомендовать;verb
record;[ʹrekɔ:d];рекорд;noun
record;[ʹrekɔ:d];записывать;verb
recording;[rıʹkɔ:dıŋ];запись;noun
recycle;[͵ri:ʹsaık(ə)l];перерабатывать;verb
reduce;[rıʹdju:s];уменьшить;verb
refer;[rıʹfɜ:];относиться;verb
refuse;[ʹrefju:s];отказаться;verb
region;[ʹri:dʒ(ə)n];регион;noun
regular;[ʹregjʋlə];регулярный;adjective
relationship;[rıʹleıʃ(ə)nʃıp];отношение;noun
remove;[rıʹmu:v];удалить;verb
repair;[rıʹpeə];восстановить;verb
replace;[rıʹpleıs];заменить;verb
reply;[rıʹplaı];ответ;noun
reply;[rıʹplaı];ответить;verb
report;[rıʹpɔ:t];сообщить;verb
reporter;[rıʹpɔ:tə];репортер;noun
request;[rıʹkwest];просьба;noun
research;[rıʹsɜ:tʃ];исследование;noun
research;[rıʹsɜ:tʃ];исследовать;verb
researcher;[rıʹsɜ:tʃə];исследователь;noun
respond;[rıʹspɒnd];реагировать;verb
response;[rıʹspɒns];ответ;noun
rest;[rest];отдых;noun
rest;[rest];отдохнуть;verb
review;[rıʹvju:];обзор;noun
review;[rıʹvju:];пересмотреть;verb
ride;[raıd];поездка;noun
ring;[rıŋ];кольцо;noun
ring;[rıŋ];позвонить;verb
rise;[raız];расти;verb
rock;[rɒk];рок;noun
role;[rəʋl];роль;noun
roof;[ru:f];крыша;noun
round;[raʋnd];круглый;adjective
round;[raʋnd];кругом;adverb
round;[raʋnd];вокруг;preposition
route;[ru:t];маршрут;noun
rubbish;[ʹrʌbıʃ];мусор;noun
rude;[ru:d];грубый;adjective
run;[rʌn];запуск;noun
runner;[ʹrʌnə];бегун;noun
running;[ʹrʌnıŋ];бег;noun
sadly;[ʹsædlı];к сожалению;adverb
safe;[seıf];безопасный;adjective
sail;[seıl];плыть;verb
sailing;[ʹseılıŋ];плавание;noun
salary;[ʹsælərı];зарплата;noun
sale;[seıl];продажа;noun
sauce;[sɔ:s];соус;noun
save;[seıv];спасти;verb
scared;[skeəd];напуганный;adjective
scary;[ʹske(ə)rı];страшный;adjective
scene;[si:n];сцена;noun
schedule;[ʹʃedju:l];график;noun
score;[skɔ:];счет;noun
score;[skɔ:];забить;verb
screen;[skri:n];экран;noun
search;[sɜ:tʃ];поиск;noun
search;[sɜ:tʃ];искать;verb
season;[ʹsi:z(ə)n];сезон;noun
seat;[si:t];место;noun
second;[ʹsekənd];во-вторых;adverb
secondly;[ʹsekəndlı];во-вторых;adverb
secret;[ʹsi:krıt];секретный;adjective
secret;[ʹsi:krıt];секрет;noun
secretary;[ʹsekrət(ə)rı];секретарь;noun
seem;[si:m];кажется;linking verb
sense;[sens];смысл;noun
separate;[ʹsep(ə)rıt];отдельный;adjective
series;[ʹsı(ə)ri:z];серия;noun
serious;[ʹsı(ə)rıəs];серьезный;adjective
serve;[sɜ:v];служить;verb
service;[ʹsɜ:vıs];служба;noun
several;[ʹsev(ə)rəl];несколько;determiner
several;[ʹsev(ə)rəl];некоторые;pronoun
shake;[ʃeık];пожать;verb
shall;[ʃæl];должен;modal verb
shape;[ʃeıp];форма;noun
sheet;[ʃi:t];лист;noun
ship;[ʃıp];корабль;noun
shoulder;[ʹʃəʋldə];плечо;noun
shout;[ʃaʋt];крик;noun
shout;[ʃaʋt];кричать;verb
shut;[ʃʌt];закрытый;adjective
shut;[ʃʌt];закрыть;verb
side;[saıd];сторона;noun
sign;[saın];знак;noun
sign;[saın];подписать;verb
silver;[ʹsılvə];серебряный;adjective
silver;[ʹsılvə];серебро;noun
simple;[ʹsımp(ə)l];простой;adjective
since;[sıns];так как;conjunction
since;[sıns];с;preposition
singing;[ʹsıŋıŋ];пение;noun
single;[ʹsıŋg(ə)l];единый;adjective
single;[ʹsıŋg(ə)l];сингл;noun
sir;[sɜ:];сэр;noun
site;[saıt];сайт;noun
size;[saız];размер;noun
ski;[~:];горнолыжный;adjective
ski;[~:];лыжа;noun
ski;[~:];кататься на лыжах;verb
skiing;[ʹski:ıŋ];лыжи;noun
skin;[skın];кожа;noun
sky;[skaı];небо;noun
sleep;[sli:p];сон;noun
slowly;[ʹsləʋlı];медленно;adverb
smartphone;['smɑ:t,fəun];смартфон;noun
smell;[smel];запах;noun
smell;[smel];пахнуть;verb
smile;[smaıl];улыбка;noun
smile;[smaıl];улыбаться;verb
smoke;[sməʋk];дым;noun
smoke;[sməʋk];курить;verb
smoking;[ʹsməʋkıŋ];курение;noun
soap;[səʋp];мыло;noun
soccer;[ʹsɒkə];футбол;noun
social;[ʹsəʋʃ(ə)l];социальный;adjective
society;[səʹsaıətı];общество;noun
sock;[sɒk];носок;noun
soft;[sɒft];мягкий;adjective
soldier;[ʹsəʋldʒə];солдат;noun
solution;[səʹlu:ʃ(ə)n];решение;noun
solve;[sɒlv];решить;verb
somewhere;[ʹsʌmweə];где-то;adverb
somewhere;[ʹsʌmweə];где-то;pronoun
sort;[sɔ:t];род;noun
source;[sɔ:s];источник;noun
speaker;[ʹspi:kə];спикер;noun
specific;[spıʹsıfık];конкретный;adjective
speech;[spi:tʃ];речь;noun
speed;[spi:d];скорость;noun
spider;[ʹspaıdə];паук;noun
spoon;[spu:n];ложка;noun
square;[skweə];квадратный;adjective
square;[skweə];площадь;noun
stage;[steıdʒ];этап;noun
stair;[steə];лестница;noun
stamp;[stæmp];марка;noun
star;[stɑ:];играть главную роль;verb
start;[stɑ:t];начало;noun
state;[steıt];государство;noun
stay;[steı];пребывание;noun
steal;[sti:l];украсть;verb
step;[step];шаг;noun
stomach;[ʹstʌmək];желудок;noun
stone;[stəʋn];камень;noun
store;[stɔ:];магазин;noun
storm;[stɔ:m];шторм;noun
straight;[streıt];прямой;adjective
straight;[streıt];прямо;adverb
strange;[streındʒ];странный;adjective
strategy;[ʹstrætıdʒı];стратегия;noun
stress;[stres];стресс;noun
stress;[stres];подчеркнуть;verb
structure;[ʹstrʌktʃə];структура;noun
stupid;[ʹstju:pıd];глупый;adjective
succeed;[səkʹsi:d];преуспеть;verb
successful;[səkʹsesf(ə)l];успешный;adjective
such;[sʌtʃ];такой;determiner
such;[sʌtʃ];такой;pronoun
suddenly;[ʹsʌd(ə)nlı];внезапно;adverb
suggest;[səʹdʒest];предлагать;verb
suggestion;[səʹdʒestʃ(ə)n];предложение;noun
suit;[s(j)u:t];костюм;noun
support;[səʹpɔ:t];поддержка;noun
support;[səʹpɔ:t];поддерживать;verb
suppose;[səʹpəʋz];предположить;verb
sure;[ʃʋə];конечно;adverb
surprise;[səʹpraız];сюрприз;noun
surprise;[səʹpraız];удивить;verb
surprised;[səʹpraɪzd];удивленный;adjective
surprising;[səʹpraızıŋ];удивительный;adjective
survey;[ʹsɜ:veı];опрос;noun
sweet;[swi:t];сладкий;adjective
sweet;[swi:t];сладость;noun
symbol;[ʹsımb(ə)l];символ;noun
system;[ʹsıstım];система;noun
tablet;[ʹtæblıt];планшет;noun
talk;[tɔ:k];разговор;noun
target;[ʹtɑ:gıt];цель;noun
task;[tɑ:sk];задача;noun
taste;[teıst];вкус;noun
taste;[teıst];попробовать;verb
teaching;[ʹti:tʃıŋ];преподавание;noun
technology;[tekʹnɒlədʒı];технология;noun
teenage;['ti:neidʒ];подростковый;adjective
temperature;[ʹtemp(ə)rətʃə];температура;noun
term;[tɜ:m];термин;noun
text;[tekst];написать;verb
themselves;[ðəmʹselvz];себя;pronoun
thick;[θık];толстый;adjective
thief;[θi:f];вор;noun
thin;[θın];тонкий;adjective
thinking;[ʹθıŋkıŋ];мышление;noun
third;[θɜ:d];треть;noun
thought;[θɔ:t];мысль;noun
throw;[θrəʋ];бросить;verb
tidy;[ʹtaıdı];аккуратный;adjective
tidy;[ʹtaıdı];привести;verb
tie;[taı];галстук;noun
tie;[taı];связать;verb
tip;[tıp];совет;noun
tool;[tu:l];инструмент;noun
top;[tɒp];верхний;adjective
top;[tɒp];вершина;noun
touch;[tʌtʃ];трогать;verb
tour;[tʋə];тур;noun
tourism;['tuəriz(ə)m];туризм;noun
towards;[təʹwɔ:dz];над;preposition
towel;[ʹtaʋəl];полотенце;noun
tower;[ʹtaʋə];башня;noun
toy;[tɔı];игрушечный;adjective
toy;[tɔı];игрушка;noun
track;[træk];трек;noun
tradition;[trəʹdıʃ(ə)n];традиция;noun
traditional;[trəʹdıʃ(ə)nəl];традиционный;adjective
train;[treın];тренироваться;verb
trainer;[ʹtreınə];тренер;noun
training;[ʹtreınıŋ];обучение;noun
transport;[ʹtrænspɔ:t];транспорт;noun
traveller;[ʹtræv(ə)lə];путешественник;noun
trouble;[ʹtrʌb(ə)l];проблема;noun
truck;[trʌk];грузовик;noun
twin;[twın];двойной;adjective
twin;[twın];близнец;noun
typical;[ʹtıpık(ə)l];типичный;adjective
underground;[ʹʌndəgraʋnd];подземный;adjective
underground;[ʹʌndəgraʋnd];под землей;adverb
understanding;[͵ʌndəʹstændıŋ];понимание;noun
unfortunately;[ʌnʹfɔ:tʃʋnıtlı];к сожалению;adverb
unhappy;[ʌnʹhæpı];несчастный;adjective
uniform;[ʹju:nıfɔ:m];форма;noun
unit;[ʹju:nıt];группа;noun
united;[ju:ʹnaıtıd];единый;adjective
unusual;[ʌnʹju:ʒʋəl];необычный;adjective
upstairs;[͵ʌpʹsteəz];верхний;adjective
use;[ju:s];использование;noun
used to;[ju:zd] [tu:];иметь обыкновение;modal verb
user;[ʹju:zə];пользователь;noun
usual;[ʹju:ʒʋəl];обычный;adjective
valley;[ʹvælı];долина;noun
van;[væn];Ван;noun
variety;[vəʹraıətı];разнообразие;noun
vehicle;[ʹvi:ık(ə)l];автомобиль;noun
view;[vju:];мнение;noun
virus;[ʹvaı(ə)rəs];вирус;noun
voice;[vɔıs];голос;noun
wait;[weıt];ожидание;noun
war;[wɔ:];война;noun
wash;[wɒʃ];мытье;noun
washing;[ʹwɒʃıŋ];мытье;noun
wave;[weıv];волна;noun
weak;[wi:k];слабый;adjective
web;[web];сайт;noun
wedding;[ʹwedıŋ];свадьба;noun
weight;[weıt];вес;noun
welcome;[ʹwelkəm];прием;noun
wet;[wet];влажный;adjective
wheel;[wi:l];колесо;noun
while;[waıl];хотя;conjunction
whole;[həʋl];целый;adjective
whose;[hu:z];чей;determiner
whose;[hu:z];чей;pronoun
wide;[waıd];широкий;adjective
wild;[waıld];дикий;adjective
wind;[wınd];ветер;noun
winner;[ʹwınə];победитель;noun
wish;[wıʃ];желание;noun
wish;[wıʃ];хотеть;verb
wood;[wʋd];дерево;noun
wooden;[ʹwʋdn];деревянный;adjective
working;[ʹwɜ:kıŋ];рабочий;adjective
worried;[ʹwʌrıd];обеспокоенный;adjective
worry;[ʹwʌrı];беспокоиться;verb
worse;[wɜ:s];хуже;adjective
worst;[wɜ:st];худший;adjective
wow;[waʋ];вау;exclamation
yet;[jet];еще;adverb
yours;[jɔ:z];твой;pronoun
zero;[ʹzı(ə)rəʋ];ноль;number
