word;lvl;transcription;translation;class
delicate;c1;[ʹdelıkıt];деликатный;adjective
delicious;a1;[dıʹlıʃəs];вкусный;adjective
delight;b2;[dıʹlaıt];восторг;noun
delight;b2;[dıʹlaıt];радовать;verb
delighted;b2;[dıʹlaıtıd];рад;adjective
deliver;b1;[dıʹlıvə];доставить;verb
delivery;b2;[dıʹlıv(ə)rı];доставка;noun
demand;b2;[dıʹmɑ:nd];спрос;noun
demand;b2;[dıʹmɑ:nd];требовать;verb
democracy;b2;[dıʹmɒkrəsı];демократия;noun
democratic;b2;[͵deməʹkrætık];демократический;adjective
demon;c1;[ʹdi:mən];демон;noun
demonstrate;b2;[ʹdemənstreıt];продемонстрировать;verb
demonstration;b2;[͵demənʹstreıʃ(ə)n];демонстрация;noun
denial;c1;[dıʹnaı(ə)l];отрицание;noun
denounce;c1;[dıʹnaʋns];осуждать;verb
dense;c1;[dens];плотный;adjective
density;c1;[ʹdensıtı];плотность;noun
dentist;a2;[ʹdentıst];стоматолог;noun
deny;b2;[dıʹnaı];отрицать;verb
depart;b2;[di:ʹpɑ:t];отправляться;verb
department;a2;[dıʹpɑ:tmənt];департамент;noun
departure;b1;[dıʹpɑ:tʃə];отъезд;noun
depend;a2;[dıʹpend];зависеть от;verb
dependence;c1;[dıʹpendəns];зависимость;noun
dependent;b2;[dıʹpendənt];зависимый;adjective
depict;c1;[dıʹpıkt];изображать;verb
deploy;c1;[dıʹplɔı];развернуть;verb
deployment;c1;[dıʹplɔımənt];развертывание;noun
deposit;b2;[dıʹpɒzıt];депозит;noun
deposit;c1;[dıʹpɒzıt];внести;verb
depressed;b2;[dıʹprest];подавленный;adjective
depressing;b2;[dıʹpresıŋ];удручающий;adjective
depression;b2;[dıʹpreʃ(ə)n];депрессия;noun
deprive;c1;[dıʹpraıv];лишить;verb
depth;b2;[depθ];глубина;noun
deputy;c1;[ʹdepjʋtı];заместитель;noun
derive;b2;[dıʹraıv];получать;verb
descend;c1;[dıʹsend];спускаться;verb
descent;c1;[dıʹsent];происхождение;noun
describe;a1;[dısʹkraıb];описать;verb
description;a1;[dısʹkrıpʃ(ə)n];описание;noun
desert;a2;[ʹdezət];пустыня;noun
desert;b2;[ʹdezət];покинуть;verb
deserve;b2;[dıʹzɜ:v];заслуживать;verb
design;a1;[dıʹzaın];дизайн;noun
design;a1;[dıʹzaın];проектировать;verb
designate;c1;[ʹdezıgnıt];назначить;verb
designer;a2;[dıʹzaınə];дизайнер;noun
desirable;c1;[dıʹzaı(ə)rəbl];желательный;adjective
desire;b2;[dıʹzaıə];желание;noun
desire;b2;[dıʹzaıə];желать;verb
desk;a1;[desk];стол;noun
desktop;c1;[ʹdesktɒp];рабочий стол;noun
desperate;b2;[ʹdesp(ə)rıt];отчаянный;adjective
desperately;b2;[ʹdesp(ə)rıtlı];отчаянно;adverb
despite;b1;[dısʹpaıt];несмотря на;preposition
destination;b1;[͵destıʹneıʃ(ə)n];назначение;noun
destroy;a2;[dısʹtrɔı];уничтожить;verb
destruction;b2;[dısʹtrʌkʃ(ə)n];уничтожение;noun
destructive;c1;[dısʹtrʌktıv];разрушительный;adjective
detail;a1;[ʹdi:teıl];деталь;noun
detail;b2;[ʹdi:teıl];детализировать;verb
detailed;b2;[ʹdi:teıld];подробный;adjective
detain;c1;[dıʹteın];задержать;verb
detect;b2;[dıʹtekt];обнаружить;verb
detection;c1;[dıʹtekʃ(ə)n];обнаружение;noun
detective;a2;[dıʹtektıv];детектив;noun
detention;c1;[dıʹtent(ə)n];задержание;noun
deteriorate;c1;[dıʹtıərıəreıt];ухудшаться;verb
determination;b2;[dı͵tɜ:mıʹneıʃ(ə)n];определение;noun
determine;b1;[dıʹtɜ:mın];определить;verb
determined;b1;[dıʹtɜ:mınd];определенный;adjective
devastate;c1;[ʹdevəsteıt];опустошить;verb
develop;a2;[dıʹveləp];развивать;verb
development;b1;[dıʹveləpmənt];развитие;noun
device;a2;[dıʹvaıs];устройство;noun
devil;c1;[ʹdevl];дьявол;noun
devise;c1;[dıʹvaız];разработать;verb
devote;b2;[dıʹvəʋt];посвятить;verb
diagnose;c1;[ʹdaıəgnəʋz];диагностировать;verb
diagnosis;c1;[͵daıəgʹnəʋsıs];диагноз;noun
diagram;b1;[ʹdaıəgræm];диаграмма;noun
dialogue;a1;[ʹdaıəlɒg];диалог;noun
diamond;b1;[ʹdaıəmənd];алмаз;noun
diary;a2;[ʹdaıərı];дневник;noun
dictate;c1;[ʹdıkteıt];диктовать;verb
dictator;c1;[dıkʹteıtə];диктатор;noun
dictionary;a1;[ʹdıkʃ(ə)n(ə)rı];словарь;noun
die;a1;[daı];умереть;verb
diet;a1;[ʹdaıət];диета;noun
differ;b2;[ʹdıfə];отличаться;verb
difference;a1;[ʹdıf(ə)rəns];разница;noun
different;a1;[ʹdıf(ə)rənt];различный;adjective
differentiate;c1;[͵dıfəʹrenʃıeıt];дифференцировать;verb
differently;a2;[ʹdıf(ə)rəntlı];по-разному;adverb
difficult;a1;[ʹdıfık(ə)lt];трудный;adjective
difficulty;b1;[ʹdıfık(ə)ltı];трудность;noun
dig;b2;[dıg];копать;verb
digital;a2;[ʹdıdʒıt(ə)l];цифровой;adjective
dignity;c1;[ʹdıgnıtı];достоинство;noun
dilemma;c1;[d(a)ıʹlemə];дилемма;noun
dimension;c1;[d(a)ıʹmenʃ(ə)n];измерение;noun
diminish;c1;[dıʹmınıʃ];уменьшить;verb
dinner;a1;[ʹdınə];ужин;noun
dip;c1;[dıp];окунуться;verb
diplomat;c1;[ʹdıpləmæt];дипломат;noun
diplomatic;c1;[͵dıpləʹmætık];дипломатический;adjective
direct;a2;[d(a)ıʹrekt];прямой;adjective
direct;b1;[d(a)ıʹrekt];напрямую;adverb
direct;b1;[d(a)ıʹrekt];направлять;verb
direction;a2;[d(a)ıʹrekʃ(ə)n];направление;noun
directly;b1;[d(a)ıʹrektlı];непосредственно;adverb
director;a2;[d(a)ıʹrektə];директор;noun
directory;c1;[d(a)ıʹrekt(ə)rı];каталог;noun
dirt;b1;[dɜ:t];грязь;noun
dirty;a1;[ʹdɜ:tı];грязный;adjective
disability;b2;[͵dısəʹbılıtı];инвалидность;noun
disabled;b2;[dısʹeıbld];людей с ограниченными возможностями;adjective
disadvantage;b1;[͵dısədʹvɑ:ntıdʒ];недостаток;noun
disagree;a2;[͵dısəʹgri:];не соглашаться;verb
disagreement;b2;[͵dısəʹgri:mənt];разногласие;noun
disappear;a2;[͵dısəʹpıə];исчезнуть;verb
disappoint;b2;[͵dısəʹpɔınt];разочаровать;verb
disappointed;b1;[͵dısəʹpɔıntıd];разочарованный;adjective
disappointing;b1;[͵dısəʹpɔıntıŋ];неутешительный;adjective
disappointment;b2;[͵dısəʹpɔıntmənt];разочарование;noun
disaster;a2;[dıʹzɑ:stə];катастрофа;noun
disastrous;c1;[dıʹzɑ:strəs];катастрофический;adjective
disc;b2;[dısk];диск;noun
discard;c1;[ʹdıskɑ:d];отказаться от;verb
discharge;c1;[dısʹtʃɑ:dʒ];выполнять;verb
discipline;b2;[ʹdısıplın];дисциплина;noun
disclose;c1;[dısʹkləʋz];раскрывать;verb
disclosure;c1;[dısʹkləʋʒə];раскрытие;noun
discount;b1;[ʹdıskaʋnt];скидка;noun
discount;b2;[ʹdıskaʋnt];сбрасывать со счетов;verb
discourage;b2;[dısʹkʌrıdʒ];препятствовать;verb
discourse;c1;[ʹdıskɔ:s];дискурс;noun
discover;a2;[dısʹkʌvə];обнаружить;verb
discovery;a2;[dısʹkʌv(ə)rı];открытие;noun
discretion;c1;[dısʹkreʃ(ə)n];усмотрение;noun
discrimination;c1;[dıs͵krımıʹneıʃ(ə)n];дискриминация;noun
discuss;a1;[dısʹkʌs];обсудить;verb
discussion;a2;[dısʹkʌʃ(ə)n];обсуждение;noun
disease;a2;[dıʹzi:z];заболевание;noun
dish;a1;[dıʃ];блюдо;noun
dishonest;b2;[dısʹɒnıst];нечестный;adjective
disk;b2;[dısk];диск;noun
dislike;b1;[dısʹlaık];неприязнь;noun
dislike;b1;[dısʹlaık];ненавидеть;verb
dismiss;b2;[dısʹmıs];уволить;verb
dismissal;c1;[dısʹmıs(ə)l];увольнение;noun
disorder;b2;[dısʹɔ:də];расстройство;noun
displace;c1;[dısʹpleıs];вытеснить;verb
display;b2;[dısʹpleı];дисплей;noun
display;b2;[dısʹpleı];отображать;verb
disposal;c1;[dısʹpəʋz(ə)l];утилизация;noun
dispose;c1;[dısʹpəʋz];избавиться;verb
dispute;c1;[(ʹ)dısʹpju:t];спор;noun
dispute;c1;[(ʹ)dısʹpju:t];оспаривать;verb
disrupt;c1;[dısʹrʌpt];нарушить;verb
disruption;c1;[dısʹrʌpʃ(ə)n];нарушение;noun
dissolve;c1;[dıʹzɒlv];растворяться;verb
distance;a2;[ʹdıst(ə)ns];расстояние;noun
distant;b2;[ʹdıst(ə)nt];далекий;adjective
distinct;b2;[dısʹtıŋ(k)t];различный;adjective
distinction;c1;[dısʹtıŋ(k)ʃ(ə)n];различие;noun
distinctive;c1;[dısʹtıŋ(k)tıv];отличительный;adjective
distinguish;b2;[dısʹtıŋgwıʃ];отличить;verb
distort;c1;[dısʹtɔ:t];искажать;verb
distract;b2;[dısʹtrækt];отвлечь;verb
distress;c1;[dısʹtres];бедствие;noun
distress;c1;[dısʹtres];огорчать;verb
distribute;b2;[dısʹtrıbju(:)t];распространять;verb
distribution;b2;[͵dıstrıʹbju:ʃ(ə)n];распределение;noun
district;b2;[ʹdıstrıkt];район;noun
disturb;b2;[dısʹtɜ:b];беспокоить;verb
disturbing;c1;[dısʹtɜ:bıŋ];тревожный;adjective
dive;b2;[daıv];погружение;noun
dive;b2;[daıv];погрузиться;verb
diverse;b2;[daıʹvɜ:s];разнообразный;adjective
diversity;b2;[daıʹvɜ:sıtı];разнообразие;noun
divert;c1;[daıʹvɜ:t];отвлечь;verb
divide;b2;[dıʹvaıd];разрыв;noun
divide;b1;[dıʹvaıd];разделить;verb
divine;c1;[dıʹvaın];божественный;adjective
division;b2;[dıʹvıʒ(ə)n];отдел;noun
divorce;b2;[dıʹvɔ:s];развод;noun
divorce;b2;[dıʹvɔ:s];развестись;verb
divorced;a2;[dɪʹvɔːst];разведенный;adjective
do;a1;[du:];делать;verb
do;a1;[du:];делать;auxiliary verb
doctor;a1;[ʹdɒktə];врач;noun
doctrine;c1;[ʹdɒktrın];доктрина;noun
document;a2;[ʹdɒkjʋmənt];документ;noun
document;b2;[ʹdɒkjʋmənt];документировать;verb
documentary;b1;[͵dɒkjʋʹment(ə)rı];документальный фильм;noun
documentation;c1;[͵dɒkjʋmenʹteıʃ(ə)n];документация;noun
dog;a1;[dɒg];собака;noun
dollar;a1;[ʹdɒlə];доллар;noun
domain;c1;[dəʹmeın];домен;noun
domestic;b2;[dəʹmestık];внутренний;adjective
dominance;c1;[ʹdɒmınəns];доминирование;noun
dominant;b2;[ʹdɒmınənt];доминирующий;adjective
dominate;b2;[ʹdɒmıneıt];доминировать;verb
donate;b1;[də(ʋ)ʹneıt];пожертвовать;verb
donation;b2;[də(ʋ)ʹneıʃ(ə)n];пожертвование;noun
donor;c1;[ʹdəʋnə];донор;noun
door;a1;[dɔ:];дверь;noun
dose;c1;[dəʋs];доза;noun
dot;b2;[dɒt];точка;noun
double;a2;[ʹdʌbl];двойной;adjective
double;b1;[ʹdʌbl];дважды;adverb
double;a2;[ʹdʌbl];двойной;determiner
double;a2;[ʹdʌbl];двойной;pronoun
double;a2;[ʹdʌbl];удвоить;verb
doubt;b1;[daʋt];сомнение;noun
doubt;b1;[daʋt];сомневаться;verb
down;a1;[daʋn];вниз;adverb
down;a1;[daʋn];вдоль;preposition
download;a2;[ʹdaʋn͵ləʋd];загрузка;noun
download;a2;[ʹdaʋn͵ləʋd];скачать;verb
downstairs;a2;[͵daʋnʹsteəz];нижний;adjective
downstairs;a1;[͵daʋnʹsteəz];внизу;adverb
downtown;b2;[ʹdaʋntaʋn];центральный;adjective
downtown;b2;[ʹdaʋntaʋn];в центре;adverb
downtown;b2;[ʹdaʋntaʋn];центр города;noun
downwards;b2;[ʹdaʋnwədz];вниз;adverb
dozen;b2;[ʹdʌz(ə)n];дюжина;determiner
dozen;b2;[ʹdʌz(ə)n];дюжина;noun
draft;b2;[drɑ:ft];проект;noun
draft;b2;[drɑ:ft];разработать;verb
drag;b2;[dræg];перетащить;verb
drain;c1;[dreın];слить;verb
drama;a2;[ʹdrɑ:mə];драма;noun
dramatic;b2;[drəʹmætık];драматический;adjective
dramatically;b2;[drəʹmætık(ə)lı];резко;adverb
draw;a1;[drɔ:];привлечь;verb
drawing;a2;[ʹdrɔ:ıŋ];рисунок;noun
dream;a2;[dri:m];мечта;noun
dream;a2;[dri:m];мечтать;verb
dress;a1;[dres];платье;noun
dress;a1;[dres];одеваться;verb
dressed;b1;[drest];одетый;adjective
drift;c1;[drıft];дрейфовать;verb
drink;a1;[drıŋk];напиток;noun
drink;a1;[drıŋk];пить;verb
drive;a2;[draıv];диск;noun
drive;a1;[draıv];водить;verb
driver;a1;[ʹdraıvə];водитель;noun
driving;c1;[ʹdraıvıŋ];движущий;adjective
driving;a2;[ʹdraıvıŋ];вождение;noun
drop;b1;[drɒp];падение;noun
drop;a2;[drɒp];капать;verb
drought;b2;[draʋt];засуха;noun
drown;c1;[draʋn];утонуть;verb
drug;a2;[drʌg];препарат;noun
drum;b1;[drʌm];барабан;noun
drunk;b1;[drʌŋk];пьяный;adjective
dry;a2;[draı];сухой;adjective
dry;a2;[draı];высохнуть;verb
dual;c1;[ʹdju(:)əl];двойной;adjective
dub;c1;[dʌb];дублировать;verb
due;b1;[dju:];должный;adjective
dull;b2;[dʌl];скучный;adjective
dumb;c1;[dʌm];глупый;adjective
dump;b2;[dʌmp];бросить;verb
duo;c1;[ʹdju(:)əʋ];дуэт;noun
duration;b2;[djʋ(ə)ʹreıʃ(ə)n];продолжительность;noun
during;a1;[ʹdjʋərıŋ];во время;preposition
dust;b1;[dʌst];пыль;noun
duty;b1;[ʹdju:tı];обязанность;noun
dvd;a1;[diːviːdiː];DVD-диск;noun
dynamic;b2;[daıʹnæmık];динамический;adjective
dynamic;c1;[daıʹnæmık];динамика;noun
each;a1;[i:tʃ];каждый;adverb
each;a1;[i:tʃ];каждый;determiner
each;a1;[i:tʃ];все;pronoun
eager;c1;[ʹi:gə];жаждущий;adjective
ear;a1;[ıə];ухо;noun
early;a1;[ʹɜ:lı];ранний;adjective
early;a1;[ʹɜ:lı];рано;adverb
earn;a2;[ɜ:n];зарабатывать;verb
earnings;c1;[ʹɜ:nıŋz];доход;noun
earth;a2;[ɜ:θ];земля;noun
earthquake;b1;[ʹɜ:θkweık];землетрясение;noun
ease;c1;[i:z];легкость;noun
ease;c1;[i:z];облегчить;verb
easily;a2;[ʹi:zılı];легко;adverb
east;a1;[i:st];восточный;adjective
east;a1;[i:st];восточнее;adverb
east;a1;[i:st];восток;noun
eastern;b1;[ʹi:stən];восточный;adjective
easy;a1;[ʹi:zı];простой;adjective
eat;a1;[i:t];есть;verb
echo;c1;[ʹekəʋ];эхо;noun
echo;c1;[ʹekəʋ];повторять;verb
ecological;c1;[͵i:kəʹlɒdʒık(ə)l];экологический;adjective
economic;b1;[͵ekəʹnɒmık];экономический;adjective
economics;b2;[͵ekəʹnɒmıks];экономика;noun
economist;b2;[ıʹkɒnəmıst];экономист;noun
economy;b1;[ıʹkɒnəmı];экономика;noun
edge;b1;[edʒ];край;noun
edit;b2;[ʹedıt];редактировать;verb
edition;b2;[ıʹdıʃ(ə)n];издание;noun
editor;b1;[ʹedıtə];редактор;noun
editorial;b2;[͵edıʹtɔ:rıəl];редакционный;adjective
educate;b1;[ʹedjʋkeıt];воспитывать;verb
educated;b1;[ʹedjʋkeıtıd];образованный;adjective
education;a2;[͵edjʋʹkeıʃ(ə)n];образование;noun
educational;b1;[͵edjʋʹkeıʃ(ə)nəl];образовательный;adjective
educator;c1;[ʹedjʋkeıtə];педагог;noun
effect;a2;[ıʹfekt];эффект;noun
effective;b1;[ıʹfektıv];эффективный;adjective
effectively;b1;[i'fektivli];эффективно;adverb
effectiveness;c1;[ıʹfektıvnıs];эффективность;noun
efficiency;c1;[ıʹfıʃ(ə)nsı];эффективность;noun
efficient;b2;[ıʹfıʃ(ə)nt];эффективный;adjective
efficiently;b2;[i'fiʃ(ə)ntli];эффективно;adverb
effort;b1;[ʹefət];усилие;noun
egg;a1;[eg];яйцо;noun
ego;c1;[ʹi:gəʋ];эго;noun
eight;a1;[eıt];восемь;number
eighteen;a1;[eıʹti:n];восемнадцать;number
eighty;a1;[ʹeıtı];восемьдесят;number
either;a2;[ʹaıðə];тоже;adverb
either;a2;[ʹaıðə];любой;determiner
either;a2;[ʹaıðə];каждый;pronoun
elaborate;c1;[ıʹlæb(ə)rət];сложный;adjective
elbow;b2;[ʹelbəʋ];локоть;noun
elderly;b2;[ʹeldəlı];престарелый;adjective
elect;b2;[ıʹlekt];избрать;verb
election;b1;[ıʹlekʃ(ə)n];выбор;noun
electoral;c1;[ıʹlekt(ə)rəl];избирательный;adjective
electric;a2;[ıʹlektrık];электрический;adjective
electrical;a2;[ıʹlektrık(ə)l];электрический;adjective
electricity;a2;[ı͵lekʹtrısıtı];электроэнергия;noun
electronic;a2;[ı͵lekʹtrɒnık];электронный;adjective
electronics;b2;[ı͵lekʹtrɒnıks];электроника;noun
elegant;b2;[ʹelıgənt];элегантный;adjective
element;b1;[ʹelımənt];элемент;noun
elementary;b2;[͵elıʹment(ə)rı];элементарный;adjective
elephant;a1;[ʹelıfənt];слон;noun
elevate;c1;[ʹelıveıt];поднять;verb
eleven;a1;[ıʹlev(ə)n];одиннадцать;number
eligible;c1;[ʹelıdʒəb(ə)l];иметь право;adjective
eliminate;b2;[ıʹlımıneıt];устранить;verb
elite;c1;[eıʹli:t];элита;noun
else;a1;[els];еще;adverb
elsewhere;b2;[(ʹ)elsʹweə];в другом месте;adverb
email;a1;['i:meil];электронная почта;noun
email;a1;['i:meil];написать;verb
embark;c1;[ımʹbɑ:k];начать;verb
embarrassed;b1;[im'bærəst];смущенный;adjective
embarrassing;b1;[ımʹbærəsıŋ];неловкий;adjective
embarrassment;c1;[ımʹbærəsmənt];смущение;noun
embassy;c1;[ʹembəsı];посольство;noun
embed;c1;[ımʹbed];встраивать;verb
embody;c1;[ımʹbɒdı];воплощать;verb
embrace;b2;[ımʹbreıs];принять;verb
emerge;b2;[ıʹmɜ:dʒ];появляться;verb
emergence;c1;[ıʹmɜ:dʒ(ə)ns];появление;noun
emergency;b1;[ıʹmɜ:dʒ(ə)nsı];чрезвычайное положение;noun
emission;b2;[ıʹmıʃ(ə)n];выброс;noun
emotion;b1;[ıʹməʋʃ(ə)n];эмоция;noun
emotional;b2;[ıʹməʋʃ(ə)nəl];эмоциональный;adjective
emotionally;b2;[ıʹməʋʃ(ə)nəlı];эмоционально;adverb
emphasis;b2;[ʹemfəsıs];акцент;noun
emphasize;b2;[ʹemfəsaız];подчеркнуть;verb
empire;b2;[ʹempaıə];империя;noun
empirical;c1;[ımʹpırık(ə)l];эмпирический;adjective
employ;a2;[ımʹplɔı];использовать;verb
employee;a2;[͵emplɔıʹi:];сотрудник;noun
employer;a2;[ımʹplɔıə];работодатель;noun
employment;b1;[ımʹplɔımənt];занятость;noun
empower;c1;[ımʹpaʋə];позволить;verb
empty;a2;[ʹemptı];пустой;adjective
empty;b1;[ʹemptı];пустовать;verb
enable;b2;[ıʹneıb(ə)l];позволить;verb
enact;c1;[ıʹnækt];принять;verb
encompass;c1;[ınʹkʌmpəs];охватывать;verb
encounter;b2;[ınʹkaʋntə];встреча;noun
encounter;b2;[ınʹkaʋntə];сталкиваться с;verb
encourage;b1;[ınʹkʌrıdʒ];поощрять;verb
encouragement;c1;[ınʹkʌrıdʒmənt];поощрение;noun
encouraging;c1;[ınʹkʌrıdʒıŋ];отрадный;adjective
end;a1;[end];конец;noun
end;a1;[end];закончиться;verb
endeavour;c1;[ınʹdevə];усилие;noun
ending;a2;[ʹendıŋ];прекращение;noun
endless;c1;[ʹendlıs];бесконечный;adjective
endorse;c1;[ınʹdɔ:s];одобрить;verb
endorsement;c1;[ınʹdɔ:smənt];одобрение;noun
endure;c1;[ınʹdjʋə];терпеть;verb
enemy;b1;[ʹenəmı];враг;noun
energy;a2;[ʹenədʒı];энергия;noun
enforce;c1;[ınʹfɔ:s];применять;verb
enforcement;c1;[ınʹfɔ:smənt];исполнение;noun
engage;b2;[ınʹgeıdʒ];заниматься;verb
engaged;b1;[ınʹgeıdʒd];занятый;adjective
engagement;c1;[ınʹgeıdʒmənt];участие;noun
engaging;c1;[ınʹgeıdʒıŋ];обаятельный;adjective
engine;a2;[ʹendʒın];двигатель;noun
engineer;a2;[͵endʒıʹnıə];инженер;noun
engineering;b1;[͵endʒıʹnı(ə)rıŋ];инженерия;noun
enhance;b2;[ınʹhɑ:ns];повысить;verb
enjoy;a1;[ınʹdʒɔı];наслаждаться;verb
enjoyable;b2;[ınʹdʒɔıəb(ə)l];приятный;adjective
enormous;a2;[ıʹnɔ:məs];огромный;adjective
enough;a1;[ıʹnʌf];достаточно;adverb
enough;a1;[ıʹnʌf];достаточно;determiner
enough;a1;[ıʹnʌf];достаточно много;pronoun
enquire;c1;[ınʹkwaıə];узнать;verb
enquiry;b2;[ınʹkwaıə];запрос;noun
enrich;c1;[ınʹrıtʃ];обогатить;verb
enrol;c1;[in'rəul];поступать;verb
ensue;c1;[ınʹsju:];возникнуть;verb
ensure;b2;[ınʹʃʋə];обеспечить;verb
enter;a2;[ʹentə];войти;verb
enterprise;c1;[ʹentəpraız];предприятие;noun
entertain;b1;[͵entəʹteın];развлекать;verb
entertaining;b2;[͵entəʹteınıŋ];развлекательный;adjective
entertainment;b1;[͵entəʹteınmənt];развлечение;noun
enthusiasm;b2;[ınʹtju:zıæz(ə)m];энтузиазм;noun
enthusiast;c1;[ınʹθju:zıæst];энтузиаст;noun
enthusiastic;b2;[ın͵θju:zıʹæstık];восторженный;adjective
entire;b2;[ınʹtaıə];целый;adjective
entirely;b2;[ınʹtaıəlı];полностью;adverb
entitle;c1;[ınʹtaıtl];давать право;verb
entity;c1;[ʹentıtı];организация;noun
entrance;b1;[ʹentrəns];вход;noun
entrepreneur;b2;[͵ɒntrəprəʹnɜ:];предприниматель;noun
entry;b1;[ʹentrı];вступление;noun
envelope;b2;[ʹenvələʋp];конверт;noun
environment;a2;[ınʹvaı(ə)rənmənt];окружающая среда;noun
environmental;b1;[ın͵vaı(ə)rənʹmentl];экологический;adjective
epidemic;c1;[͵epıʹdemık];эпидемия;noun
episode;b1;[ʹepısəʋd];эпизод;noun
equal;b1;[ʹi:kwəl];равный;adjective
equal;b2;[ʹi:kwəl];равенство;noun
equal;b1;[ʹi:kwəl];равняться;verb
equality;c1;[ıʹkwɒlıtı];равенство;noun
equally;b1;[ʹi:kwəlı];одинаково;adverb
equation;c1;[ıʹkweıʒ(ə)n];уравнение;noun
equip;b2;[ıʹkwıp];оснастить;verb
equipment;a2;[ıʹkwıpmənt];оборудование;noun
equivalent;b2;[ıʹkwıv(ə)lənt];эквивалентный;adjective
equivalent;b2;[ıʹkwıv(ə)lənt];эквивалент;noun
era;b2;[ʹı(ə)rə];эпоха;noun
erect;c1;[ıʹrekt];возвести;verb
error;a2;[ʹerə];ошибка;noun
erupt;b2;[ıʹrʌpt];извергаться;verb
escalate;c1;[ʹeskəleıt];перерасти;verb
escape;b1;[ıʹskeıp];побег;noun
escape;b1;[ıʹskeıp];избежать;verb
especially;a2;[ıʹspeʃ(ə)lı];особенно;adverb
essay;a2;[ʹeseı];эссе;noun
essence;c1;[ʹes(ə)ns];суть;noun
essential;b1;[ıʹsenʃ(ə)l];важный;adjective
essentially;b2;[ıʹsenʃ(ə)lı];по сути;adverb
establish;b2;[ıʹstæblıʃ];установить;verb
establishment;c1;[ıʹstæblıʃmənt];учреждение;noun
estate;b2;[ıʹsteıt];недвижимость;noun
estimate;b2;[ʹestımıt];оценка;noun
estimate;b2;[ʹestımıt];оценить;verb
eternal;c1;[ıʹtɜ:n(ə)l];вечный;adjective
ethic;b2;[ʹeθık];этика;noun
ethical;b2;[ʹeθık(ə)l];этический;adjective
ethnic;b2;[ʹeθnık];этнический;adjective
euro;a1;[ʹjʋ(ə)rə(ʋ)];евро;noun
evacuate;c1;[ıʹvækjʋeıt];эвакуировать;verb
evaluate;b2;[ıʹvæljʋeıt];оценить;verb
evaluation;b2;[ı͵væljʋʹeıʃ(ə)n];оценка;noun
even;b2;[ʹi:v(ə)n];равный;adjective
even;a1;[ʹi:v(ə)n];еще;adverb
evening;a1;[ʹi:vnıŋ];вечер;noun
event;a1;[ıʹvent];событие;noun
eventually;b1;[ıʹventʃʋ(ə)lı];в конце концов;adverb
ever;a1;[ʹevə];когда-либо;adverb
every;a1;[ʹevrı];каждый;determiner
everybody;a1;[ʹevrıbɒdı];все;pronoun
everyday;a2;[ʹevrıdeı];повседневный;adjective
everyone;a1;[ʹevrıwʌn];все;pronoun
everything;a1;[ʹevrıθıŋ];всё;pronoun
everywhere;a2;[ʹevrıweə];везде;adverb
evidence;a2;[ʹevıd(ə)ns];доказательство;noun
evident;b2;[ʹevıd(ə)nt];очевидный;adjective
evil;b2;[ʹi:v(ə)l];злой;adjective
evil;b2;[ʹi:v(ə)l];зло;noun
evoke;c1;[ıʹvəʋk];вызывать;verb
evolution;b2;[͵i:vəʹlu:ʃ(ə)n];эволюция;noun
evolutionary;c1;[͵i:vəʹlu:ʃən(ə)rı];эволюционный;adjective
evolve;b2;[ıʹvɒlv];развиваться;verb
exact;a2;[ıgʹzækt];точный;adjective
exactly;a2;[ıgʹzæktlı];именно;adverb
exaggerate;c1;[ıgʹzædʒəreıt];преувеличивать;verb
exam;a1;[ıgʹzæm];экзамен;noun
examination;b2;[ıg͵zæmıʹneıʃ(ə)n];обследование;noun
examine;b1;[ıgʹzæmın];изучить;verb
example;a1;[ıgʹzɑ:mp(ə)l];пример;noun
exceed;b2;[ıkʹsi:d];превышать;verb
excellence;c1;[ʹeks(ə)ləns];совершенство;noun
excellent;a2;[ʹeks(ə)lənt];отличный;adjective
except;b1;[ıkʹsept];кроме;conjunction
except;a2;[ıkʹsept];кроме;preposition
exception;b2;[ıkʹsepʃ(ə)n];исключение;noun
exceptional;c1;[ıkʹsepʃ(ə)nəl];исключительный;adjective
excess;c1;[ıkʹses];избыточный;adjective
excess;c1;[ıkʹses];избыток;noun
excessive;b2;[ıkʹsesıv];чрезмерный;adjective
exchange;b1;[ıksʹtʃeındʒ];обмен;noun
exchange;b1;[ıksʹtʃeındʒ];обмениваться;verb
excited;a1;[ıkʹsaıtıd];рад;adjective
excitement;b1;[ıkʹsaıtmənt];волнение;noun
exciting;a1;[ıkʹsaıtıŋ];захватывающий;adjective
exclude;b2;[ıkʹsklu:d];исключать;verb
exclusion;c1;[ıkʹsklu:ʒ(ə)n];исключение;noun
exclusive;c1;[ıkʹsklu:sıv];эксклюзивный;adjective
exclusively;c1;[ıkʹsklu:sıvlı];исключительно;adverb
excuse;b2;[ıkʹskju:s];оправдание;noun
excuse;b2;[ıkʹskju:s];извинить;verb
execute;c1;[ʹeksıkju:t];выполнять;verb
execution;c1;[͵eksıʹkju:ʃ(ə)n];исполнение;noun
executive;b2;[ıgʹzekjʋtıv];исполнительный;adjective
executive;b2;[ıgʹzekjʋtıv];руководитель;noun
exercise;a1;[ʹeksəsaız];осуществление;noun
exercise;a1;[ʹeksəsaız];осуществлять;verb
exert;c1;[ıgʹzɜ:t];оказывать;verb
exhibit;b2;[ıgʹzıbıt];выставка;noun
exhibit;b2;[ıgʹzıbıt];демонстрировать;verb
