word;lvl;transcription;class
bus;a1;[bʌs];noun
bush;b2;[bʋʃ];noun
business;a1;[ʹbıznıs];noun
businessman;a2;[ʹbıznısmən];noun
busy;a1;[ʹbızı];adjective
but;a1;[bʌt];conjunction
but;b2;[bʌt];preposition
butter;a1;[ʹbʌtə];noun
button;a2;[ʹbʌtn];noun
buy;a1;[baı];verb
by;b1;[baı];adverb
by;a1;[baı];preposition
bye;a1;[baı];exclamation
cabin;b2;[ʹkæbın];noun
cabinet;c1;[ʹkæb(ı)nıt];noun
cable;b2;[ʹkeıb(ə)l];noun
cafe;a1;['kæfei];noun
cake;a1;[keık];noun
calculate;b2;[ʹkælkjʋleıt];verb
calculation;c1;[͵kælkjʋʹleıʃ(ə)n];noun
call;a1;[kɔ:l];noun
call;a1;[kɔ:l];verb
calm;b1;[kɑ:m];adjective
calm;b1;[kɑ:m];noun
calm;b1;[kɑ:m];verb
camera;a1;[ʹkæm(ə)rə];noun
camp;a2;[kæmp];noun
camp;a2;[kæmp];verb
campaign;b1;[kæmʹpeın];noun
campaign;b1;[kæmʹpeın];verb
camping;a2;[ʹkæmpıŋ];noun
campus;b1;[ʹkæmpəs];noun
can;a2;[kæn];noun
can;a1;[kæn];modal verb
canal;b2;[kəʹnæl];noun
cancel;b2;[ʹkæns(ə)l];verb
cancer;b2;[ʹkænsə];noun
candidate;b1;[ʹkændıdət];noun
candle;b2;[ʹkændl];noun
cannot;a1;[ʹkænɒt];modal verb
canvas;c1;[ʹkænvəs];noun
cap;b1;[kæp];noun
capability;c1;[͵keıpəʹbılıtı];noun
capable;b2;[ʹkeıpəb(ə)l];adjective
capacity;b2;[kəʹpæsıtı];noun
capital;a1;[ʹkæpıtl];adjective
capital;a1;[ʹkæpıtl];noun
capitalism;c1;[ʹkæpıtlız(ə)m];noun
capitalist;c1;[ʹkæpıtlıst];adjective
captain;b1;[ʹkæptın];noun
capture;b2;[ʹkæptʃə];noun
capture;b2;[ʹkæptʃə];verb
car;a1;[kɑ:];noun
carbon;b2;[ʹkɑ:bən];noun
card;a1;[kɑ:d];noun
care;a2;[keə];noun
care;a2;[keə];verb
career;a1;[kəʹrıə];noun
careful;a2;[ʹkeəf(ə)l];adjective
carefully;a2;[ʹkeəf(ə)lı];adverb
careless;b1;[ʹkeəlıs];adjective
cargo;c1;[ʹkɑ:gəʋ];noun
carpet;a2;[ʹkɑ:pıt];noun
carriage;c1;[ʹkærıdʒ];noun
carrot;a1;[ʹkærət];noun
carry;a1;[ʹkærı];verb
cartoon;a2;[kɑ:ʹtu:n];noun
carve;c1;[kɑ:v];verb
case;a2;[keıs];noun
cash;a2;[kæʃ];noun
casino;c1;[kəʹsi:nəʋ];noun
cast;b2;[kɑ:st];noun
cast;b2;[kɑ:st];verb
castle;a2;[ʹkɑ:s(ə)l];noun
casual;b2;[ʹkæʒʋəl];adjective
casualty;c1;[ʹkæʒʋəltı];noun
cat;a1;[kæt];noun
catalogue;c1;[ʹkætəlɒg];noun
catch;b2;[kætʃ];noun
catch;a2;[kætʃ];verb
category;b1;[ʹkætıg(ə)rı];noun
cater;c1;[ʹkeıtə];verb
cattle;c1;[ʹkætl];noun
cause;a2;[kɔ:z];noun
cause;a2;[kɔ:z];verb
caution;c1;[ʹkɔ:ʃ(ə)n];noun
cautious;c1;[ʹkɔ:ʃəs];adjective
cave;b2;[keıv];noun
cd;a1;[,si:'di:];noun
cease;c1;[si:s];verb
ceiling;b1;[ʹsi:lıŋ];noun
celebrate;a2;[ʹselıbreıt];verb
celebration;b1;[͵selıʹbreıʃ(ə)n];noun
celebrity;a2;[sıʹlebrıtı];noun
cell;b2;[sel];noun
cemetery;c1;[ʹsemıtrı];noun
cent;a1;[sent];noun
central;b1;[ʹsentrəl];adjective
centre;a1;[ʹsentə];noun
centre;b1;[ʹsentə];verb
century;a1;[ʹsentʃərı];noun
ceremony;b1;[ʹserımənı];noun
certain;a2;[ʹsɜ:tn];adjective
certainly;a2;[ʹsɜ:tnlı];adverb
certainty;b2;[ʹsɜ:tntı];noun
certificate;b2;[səʹtıfıkət];noun
chain;b1;[tʃeın];noun
chain;b2;[tʃeın];verb
chair;a1;[tʃeə];noun
chair;b2;[tʃeə];verb
chairman;b2;[ʹtʃeəmən];noun
challenge;b1;[ʹtʃælındʒ];noun
challenge;b2;[ʹtʃælındʒ];verb
challenging;b2;[ʹtʃælındʒıŋ];adjective
chamber;c1;[ʹtʃeımbə];noun
champion;b1;[ʹtʃæmpıən];noun
championship;b2;[ʹtʃæmpıənʃıp];noun
chance;a2;[tʃɑ:ns];noun
change;a1;[tʃeındʒ];noun
change;a1;[tʃeındʒ];verb
channel;b1;[ʹtʃænl];noun
chaos;c1;[ʹkeıɒs];noun
chapter;b1;[ʹtʃæptə];noun
character;a2;[ʹkærıktə];noun
characteristic;b2;[͵kærıktəʹrıstık];adjective
characteristic;b2;[͵kærıktəʹrıstık];noun
characterize;c1;[ʹkærıktəraız];verb
charge;b1;[tʃɑ:dʒ];noun
charge;b1;[tʃɑ:dʒ];verb
charity;a2;[ʹtʃærıtı];noun
charm;c1;[tʃɑ:m];noun
charming;b2;[ʹtʃɑ:mıŋ];adjective
chart;a1;[tʃɑ:t];noun
chart;b2;[tʃɑ:t];verb
charter;c1;[ʹtʃɑ:tə];noun
chase;b2;[tʃeıs];noun
chase;b2;[tʃeıs];verb
chat;a2;[tʃæt];noun
chat;a2;[tʃæt];verb
cheap;a1;[tʃi:p];adjective
cheap;b1;[tʃi:p];adverb
cheat;b1;[tʃi:t];noun
cheat;b1;[tʃi:t];verb
check;a2;[tʃek];noun
check;a1;[tʃek];verb
cheek;b2;[tʃi:k];noun
cheer;b2;[tʃıə];noun
cheer;b2;[tʃıə];verb
cheerful;b1;[ʹtʃıəf(ə)l];adjective
cheese;a1;[tʃi:z];noun
chef;a2;[ʃef];noun
chemical;b1;[ʹkemık(ə)l];adjective
chemical;b1;[ʹkemık(ə)l];noun
chemistry;a2;[ʹkemıstrı];noun
chest;b1;[tʃest];noun
chicken;a1;[ʹtʃıkın];noun
chief;b2;[tʃi:f];adjective
chief;b2;[tʃi:f];noun
child;a1;[tʃaıld];noun
childhood;b1;[ʹtʃaıldhʋd];noun
chip;a2;[tʃıp];noun
chocolate;a1;[ʹtʃɒklıt];noun
choice;a2;[tʃɔıs];noun
choir;b2;[ʹkwaıə];noun
choose;a1;[tʃu:z];verb
chop;b2;[tʃɒp];verb
chronic;c1;[ʹkrɒnık];adjective
chunk;c1;[tʃʌnk];noun
church;a2;[tʃɜ:tʃ];noun
cigarette;a2;[͵sıgəʹret];noun
cinema;a1;[ʹsınımə];noun
circle;a2;[ʹsɜ:k(ə)l];noun
circle;a2;[ʹsɜ:k(ə)l];verb
circuit;b2;[ʹsɜ:kıt];noun
circulate;c1;[ʹsɜ:kjʋleıt];verb
circulation;c1;[͵sɜ:kjʋʹleıʃ(ə)n];noun
circumstance;b2;[ʹsɜ:kəmstæns];noun
cite;b2;[saıt];verb
citizen;b2;[ʹsıtız(ə)n];noun
citizenship;c1;[ʹsıtız(ə)nʃıp];noun
city;a1;[ʹsıtı];noun
civic;c1;[ʹsıvık];adjective
civil;b2;[ʹsıv(ə)l];adjective
civilian;c1;[sıʹvılıən];adjective
civilian;c1;[sıʹvılıən];noun
civilization;b2;[͵sıv(ə)laıʹzeıʃ(ə)n];noun
claim;b1;[kleım];noun
claim;b1;[kleım];verb
clarify;b2;[ʹklærıfaı];verb
clarity;c1;[ʹklærıtı];noun
clash;c1;[klæʃ];noun
class;a1;[klɑ:s];noun
classic;b2;[ʹklæsık];adjective
classic;b2;[ʹklæsık];noun
classical;a2;[ʹklæsık(ə)l];adjective
classification;c1;[͵klæsıfıʹkeıʃ(ə)n];noun
classify;b2;[ʹklæsıfaı];verb
classroom;a1;[ʹklɑ:srʋm];noun
clause;b1;[klɔ:z];noun
clean;a1;[kli:n];adjective
clean;a1;[kli:n];verb
cleaning;unknown;[ʹkli:nıŋ];noun
clear;a2;[klıə];adjective
clear;b1;[klıə];verb
clearly;a2;[ʹklıəlı];adverb
clerk;b2;[klɑ:k];noun
clever;a2;[ʹklevə];adjective
click;b1;[klık];noun
click;b1;[klık];verb
client;b1;[ʹklaıənt];noun
cliff;b2;[klıf];noun
climate;a2;[ʹklaımıt];noun
climb;b1;[klaım];noun
climb;a1;[klaım];verb
cling;c1;[klıŋ];verb
clinic;b2;[ʹklınık];noun
clinical;c1;[ʹklınık(ə)l];adjective
clip;b2;[klıp];noun
clock;a1;[klɒk];noun
close;a2;[kləʋs];adjective
close;b1;[kləʋs];adverb
close;b2;[kləʋs];noun
close;a1;[kləʋs];verb
closed;a2;[kləʋzd];adjective
closely;b2;[ʹkləʋslı];adverb
closure;c1;[ʹkləʋʒə];noun
cloth;b1;[klɒθ];noun
clothes;a1;[kləʋ(ð)z];noun
clothing;a2;[ʹkləʋðıŋ];noun
cloud;a2;[klaʋd];noun
club;a1;[klʌb];noun
clue;b1;[klu:];noun
cluster;c1;[ʹklʌstə];noun
coach;a2;[kəʋtʃ];noun
coach;b1;[kəʋtʃ];verb
coal;b1;[kəʋl];noun
coalition;c1;[͵kəʋəʹlıʃ(ə)n];noun
coast;a2;[kəʋst];noun
coastal;c1;[ʹkəʋstl];adjective
coat;a1;[kəʋt];noun
cocktail;c1;[ʹkɒkteıl];noun
code;a2;[kəʋd];noun
coffee;a1;[ʹkɒfı];noun
cognitive;c1;[ʹkɒgnıtıv];adjective
coin;b1;[kɔın];noun
coincide;c1;[͵kəʋınʹsaıd];verb
coincidence;b2;[kəʋʹınsıd(ə)ns];noun
cold;a1;[kəʋld];adjective
cold;a1;[kəʋld];noun
collaborate;c1;[kəʹlæbəreıt];verb
collaboration;c1;[kə͵læbəʹreıʃ(ə)n];noun
collapse;b2;[kəʹlæps];noun
collapse;b2;[kəʹlæps];verb
colleague;a2;[ʹkɒli:g];noun
collect;a2;[kəʹlekt];verb
collection;b1;[kəʹlekʃ(ə)n];noun
collective;c1;[kəʹlektıv];adjective
collector;b2;[kəʹlektə];noun
college;a1;[ʹkɒlıdʒ];noun
collision;c1;[kəʹlıʒ(ə)n];noun
colonial;c1;[kəʹləʋnıəl];adjective
colony;b2;[ʹkɒlənı];noun
colour;a1;[ʹkʌlə];noun
coloured;b1;[ʹkʌləd];adjective
colourful;b2;[ʹkʌləf(ə)l];adjective
column;a2;[ʹkɒləm];noun
columnist;c1;[ʹkɒləm(n)ıst];noun
combat;c1;[ʹkɒmbæt];noun
combat;c1;[ʹkɒmbæt];verb
combination;b2;[͵kɒmbıʹneıʃ(ə)n];noun
combine;b1;[ʹkɒmbaın];verb
come;a1;[kʌm];verb
comedy;a2;[ʹkɒmədı];noun
comfort;b2;[ʹkʌmfət];noun
comfort;b2;[ʹkʌmfət];verb
comfortable;a2;[ʹkʌmf(ə)təb(ə)l];adjective
comic;b2;[ʹkɒmık];adjective
comic;b2;[ʹkɒmık];noun
command;b2;[kəʹmɑ:nd];noun
command;b2;[kəʹmɑ:nd];verb
commander;b2;[kəʹmɑ:ndə];noun
commence;c1;[kəʹmens];verb
comment;a2;[ʹkɒment];noun
comment;b1;[ʹkɒment];verb
commentary;c1;[ʹkɒmənt(ə)rı];noun
commentator;c1;[ʹkɒmənteıtə];noun
commerce;c1;[ʹkɒmɜ:s];noun
commercial;b1;[kəʹmɜ:ʃ(ə)l];adjective
commercial;b1;[kəʹmɜ:ʃ(ə)l];noun
commission;b2;[kəʹmıʃ(ə)n];noun
commission;b2;[kəʹmıʃ(ə)n];verb
commissioner;c1;[kəʹmıʃ(ə)nə];noun
commit;b1;[kəʹmıt];verb
commitment;b2;[kəʹmıtmənt];noun
committee;b2;[kəʹmıtı];noun
commodity;c1;[kəʹmɒdıtı];noun
common;a1;[ʹkɒmən];adjective
commonly;b2;[ʹkɒmənlı];adverb
communicate;a2;[kəʹmju:nıkeıt];verb
communication;b1;[kə͵mju:nıʹkeıʃ(ə)n];noun
communist;c1;[ʹkɒmjʋnıst];adjective
community;a2;[kəʹmju:nıtı];noun
companion;c1;[kəmʹpænıən];noun
company;a1;[ʹkʌmpənı];noun
comparable;c1;[ʹkʌmp(ə)rəb(ə)l];adjective
comparative;b2;[kəmʹpærətıv];adjective
compare;a1;[kəmʹpeə];verb
comparison;b1;[kəmʹpærıs(ə)n];noun
compassion;c1;[kəmʹpæʃ(ə)n];noun
compel;c1;[kəmʹpel];verb
compelling;c1;[kəmʹpelıŋ];adjective
compensate;c1;[ʹkɒmpənseıt];verb
compensation;c1;[͵kɒmpənʹseıʃ(ə)n];noun
compete;a2;[kəmʹpi:t];verb
competence;c1;[ʹkɒmpıt(ə)ns];noun
competent;c1;[ʹkɒmpıt(ə)nt];adjective
competition;a2;[͵kɒmpıʹtıʃ(ə)n];noun
competitive;b1;[kəmʹpetıtıv];adjective
competitor;b1;[kəmʹpetıtə];noun
compile;c1;[kəmʹpaıl];verb
complain;a2;[kəmʹpleın];verb
complaint;b1;[kəmʹpleınt];noun
complement;c1;[ʹkɒmplımənt];verb
complete;a1;[kəmʹpli:t];adjective
complete;a1;[kəmʹpli:t];verb
completely;a2;[kəmʹpli:tlı];adverb
completion;b2;[kəmʹpli:ʃ(ə)n];noun
complex;b1;[ʹkɒmpleks];adjective
complex;b2;[ʹkɒmpleks];noun
complexity;c1;[kəmʹpleksıtı];noun
compliance;c1;[kəmʹplaıəns];noun
complicated;b2;[ʹkɒmplıkeıtıd];adjective
complication;c1;[͵kɒmplıʹkeıʃ(ə)n];noun
comply;c1;[kəmʹplaı];verb
component;b2;[kəmʹpəʋnənt];noun
compose;b2;[kəmʹpəʋz];verb
composer;b2;[kəmʹpəʋzə];noun
composition;c1;[͵kɒmpəʹzıʃ(ə)n];noun
compound;b2;[ʹkɒmpaʋnd];noun
comprehensive;b2;[͵kɒmprıʹhensıv];adjective
comprise;b2;[kəmʹpraız];verb
compromise;c1;[ʹkɒmprəmaız];noun
compromise;c1;[ʹkɒmprəmaız];verb
compulsory;b2;[kəmʹpʌls(ə)rı];adjective
compute;c1;[kəmʹpju:t];verb
computer;a1;[kəmʹpju:tə];noun
conceal;c1;[kənʹsi:l];verb
concede;c1;[kənʹsi:d];verb
conceive;c1;[kənʹsi:v];verb
concentrate;b1;[ʹkɒns(ə)ntreıt];verb
concentration;b2;[͵kɒns(ə)nʹtreıʃ(ə)n];noun
concept;b2;[ʹkɒnsept];noun
conception;c1;[kənʹsepʃ(ə)n];noun
concern;b2;[kənʹsɜ:n];noun
concern;b2;[kənʹsɜ:n];verb
concerned;b2;[kənʹsɜ:nd];adjective
concert;a1;[ʹkɒnsət];noun
concession;c1;[kənʹseʃ(ə)n];noun
conclude;b1;[kənʹklu:d];verb
conclusion;b1;[kənʹklu:ʒ(ə)n];noun
concrete;b2;[ʹkɒŋkri:t];adjective
concrete;b2;[ʹkɒŋkri:t];noun
condemn;c1;[kənʹdem];verb
condition;a2;[kənʹdıʃ(ə)n];noun
conduct;b2;[ʹkɒndʌkt];noun
conduct;b2;[ʹkɒndʌkt];verb
confer;c1;[kənʹfɜ:];verb
conference;a2;[ʹkɒnf(ə)rəns];noun
confess;b2;[kənʹfes];verb
confession;c1;[kənʹfeʃ(ə)n];noun
confidence;b2;[ʹkɒnfıd(ə)ns];noun
confident;b1;[ʹkɒnfıd(ə)nt];adjective
configuration;c1;[kən͵fıgjʋʹreıʃ(ə)n];noun
confine;c1;[ʹkɒnfaın];verb
confirm;b1;[kənʹfɜ:m];verb
confirmation;c1;[͵kɒnfəʹmeıʃ(ə)n];noun
conflict;b2;[ʹkɒnflıkt];noun
conflict;b2;[ʹkɒnflıkt];verb
confront;c1;[kənʹfrʌnt];verb
confrontation;c1;[͵kɒnfrənʹteıʃ(ə)n];noun
confuse;b1;[kənʹfju:z];verb
confused;b1;[kənʹfju:zd];adjective
confusing;b2;[kənʹfju:zıŋ];adjective
confusion;b2;[kənʹfju:ʒ(ə)n];noun
congratulate;c1;[kənʹgrætjʋleıt];verb
congregation;c1;[͵kɒŋgrıʹgeıʃ(ə)n];noun
congressional;c1;[kənʹgreʃ(ə)nəl];adjective
connect;a2;[kəʹnekt];verb
connected;a2;[kəʹnektıd];adjective
connection;b1;[kəʹnekʃ(ə)n];noun
conquer;c1;[ʹkɒŋkə];verb
conscience;c1;[ʹkɒnʃ(ə)ns];noun
conscious;b2;[ʹkɒnʃəs];adjective
consciousness;c1;[ʹkɒnʃəsnıs];noun
consecutive;c1;[kənʹsekjʋtıv];adjective
consensus;c1;[kənʹsensəs];noun
consent;c1;[kənʹsent];noun
consent;c1;[kənʹsent];verb
consequence;b1;[ʹkɒnsıkwəns];noun
consequently;b2;[ʹkɒnsıkwəntlı];adverb
conservation;b2;[͵kɒnsəʹveıʃ(ə)n];noun
conservative;b2;[kənʹsɜ:vətıv];adjective
conservative;b2;[kənʹsɜ:vətıv];noun
conserve;c1;[ʹkɒnsɜ:v];verb
consider;a2;[kənʹsıdə];verb
considerable;b2;[kənʹsıd(ə)rəb(ə)l];adjective
considerably;b2;[kənʹsıd(ə)rəblı];adverb
consideration;b2;[kən͵sıdəʹreıʃ(ə)n];noun
consist;b1;[ʹkɒnsıst];verb
consistency;c1;[kənʹsıst(ə)nsı];noun
consistent;b2;[kənʹsıst(ə)nt];adjective
consistently;b2;[kənʹsıst(ə)ntlı];adverb
consolidate;c1;[kənʹsɒlıdıt];verb
conspiracy;b2;[kənʹspırəsı];noun
constant;b2;[ʹkɒnstənt];adjective
constantly;b2;[ʹkɒnstəntlı];adverb
constituency;c1;[kənʹstıtʃʋənsı];noun
constitute;c1;[ʹkɒnstıtju:t];verb
constitution;c1;[͵kɒnstıʹtju:ʃ(ə)n];noun
constitutional;c1;[͵kɒnstıʹtju:ʃ(ə)nəl];adjective
constraint;c1;[kənʹstreınt];noun
construct;b2;[ʹkɒnstrʌkt];verb
construction;b2;[kənʹstrʌkʃ(ə)n];noun
consult;b2;[kənʹsʌlt];verb
consultant;b2;[kənʹsʌlt(ə)nt];noun
consultation;c1;[͵kɒns(ə)lʹteıʃ(ə)n];noun
consume;b1;[kənʹsju:m];verb
consumer;b1;[kənʹsju:mə];noun
consumption;b2;[kənʹsʌmpʃ(ə)n];noun
contact;b1;[ʹkɒntækt];noun
contact;b1;[ʹkɒntækt];verb
contain;a2;[kənʹteın];verb
container;b1;[kənʹteınə];noun
contemplate;c1;[ʹkɒntəmpleıt];verb
contemporary;b2;[kənʹtemp(ə)rərı];adjective
contempt;c1;[kənʹtempt];noun
contend;c1;[kənʹtend];verb
contender;c1;[kənʹtendə];noun
content;c1;[ʹkɒntent];adjective
content;b1;[ʹkɒntent];noun
contention;c1;[kənʹtenʃ(ə)n];noun
contest;b2;[ʹkɒntest];noun
contest;b2;[ʹkɒntest];verb
context;a2;[ʹkɒntekst];noun
continent;a2;[ʹkɒntınənt];noun
continually;c1;[kənʹtınjʋəlı];adverb
continue;a2;[kənʹtınju:];verb
continuous;b1;[kənʹtınjʋəs];adjective
contract;b2;[ʹkɒntrækt];noun
contract;b2;[ʹkɒntrækt];verb
contractor;c1;[kənʹtræktə];noun
contradiction;c1;[͵kɒntrəʹdıkʃ(ə)n];noun
contrary;c1;[ʹkɒntrərı];adjective
contrary;c1;[ʹkɒntrərı];noun
contrast;b1;[ʹkɒntrɑ:st];noun
contrast;b1;[ʹkɒntrɑ:st];verb
contribute;b2;[kənʹtrıbju:t];verb
contribution;b2;[͵kɒntrıʹbju:ʃ(ə)n];noun
contributor;c1;[kənʹtrıbjʋtə];noun
control;a2;[kɒnʹtrəʋl];noun
control;a2;[kɒnʹtrəʋl];verb
controversial;b2;[͵kɒntrəʹvɜ:ʃ(ə)l];adjective
controversy;b2;[ʹkɒntrəvɜ:sı];noun
convenience;b2;[kənʹvi:nıəns];noun
convenient;b1;[kənʹvi:nıənt];adjective
convention;b2;[kənʹvenʃ(ə)n];noun
conventional;b2;[kənʹvenʃ(ə)nəl];adjective
conversation;a1;[͵kɒnvəʹseıʃ(ə)n];noun
conversion;c1;[kənʹvɜ:ʃ(ə)n];noun
convert;b2;[ʹkɒnvɜ:t];verb
convey;b2;[kənʹveı];verb
convict;c1;[ʹkɒnvıkt];verb
conviction;c1;[kənʹvıkʃ(ə)n];noun
convince;b1;[kənʹvıns];verb
convinced;b2;[kənʹvınst];adjective
convincing;b2;[kənʹvınsıŋ];adjective
cook;a2;[kʋk];noun
cook;a1;[kʋk];verb
cooker;a2;[ʹkʋkə];noun
cooking;a1;[ʹkʋkıŋ];noun
cool;a1;[ku:l];adjective
cool;b1;[ku:l];verb
cooperate;c1;[kəu'ɔp(ə)reit];verb
cooperative;c1;[kəu'ɔp(ə)rətiv];adjective
coordinate;c1;[kəʋʹɔ:dınıt];verb
coordination;c1;[kəʋ͵ɔ:dıʹneıʃ(ə)n];noun
coordinator;c1;[kəʋʹɔ:dıneıtə];noun
cop;c1;[kɒp];noun
cope;b2;[kəʋp];verb
copper;c1;[ʹkɒpə];noun
copy;a2;[ʹkɒpı];noun
copy;a2;[ʹkɒpı];verb
copyright;c1;[ʹkɒpıraıt];noun
core;b2;[kɔ:];adjective
core;b2;[kɔ:];noun
corner;a2;[ʹkɔ:nə];noun
corporate;b2;[ʹkɔ:p(ə)rıt];adjective
corporation;b2;[͵kɔ:pəʹreıʃ(ə)n];noun
correct;a1;[kəʹrekt];adjective
correct;a1;[kəʹrekt];verb
correction;c1;[kəʹrekʃ(ə)n];noun
correctly;a2;[kəʹrektlı];adverb
correlate;c1;[ʹkɒrıleıt];verb
correlation;c1;[͵kɒrıʹleıʃ(ə)n];noun
correspond;c1;[͵kɒrıʹspɒnd];verb
correspondence;c1;[͵kɒrıʹspɒnd(ə)ns];noun
correspondent;c1;[͵kɒrıʹspɒnd(ə)nt];noun
corresponding;c1;[͵kɒrıʹspɒndıŋ];adjective
corridor;b2;[ʹkɒrıdɔ:];noun
corrupt;c1;[kəʹrʌpt];adjective
corruption;c1;[kəʹrʌpʃ(ə)n];noun
cost;a1;[kɒst];noun
cost;a1;[kɒst];verb
costly;c1;[ʹkɒstlı];adjective
costume;b1;[ʹkɒstjʋm];noun
cottage;b1;[ʹkɒtıdʒ];noun
cotton;b1;[ʹkɒtn];noun
could;a1;[kʋd];modal verb
council;b2;[ʹkaʋns(ə)l];noun
councillor;c1;[ʹkaʋns(ə)lə];noun
counselling;c1;[ʹkaʊnsəlɪŋ];noun
counsellor;c1;[ʹkaʋns(ə)lə];noun
count;b1;[kaʋnt];noun
count;a2;[kaʋnt];verb
counter;b2;[ʹkaʋntə];noun
counter;c1;[ʹkaʋntə];verb
counterpart;c1;[ʹkaʋntəpɑ:t];noun
countless;c1;[ʹkaʋntlıs];adjective
country;a1;[ʹkʌntrı];noun
countryside;b1;[ʹkʌntrısaıd];noun
county;b2;[ʹkaʋntı];noun
coup;c1;[ku:];noun
couple;a2;[ʹkʌp(ə)l];noun
courage;b2;[ʹkʌrıdʒ];noun
course;a1;[kɔ:s];noun
court;b1;[kɔ:t];noun
courtesy;c1;[ʹkɜ:tısı];noun
cousin;a1;[ʹkʌz(ə)n];noun
cover;b1;[ʹkʌvə];noun
cover;a2;[ʹkʌvə];verb
coverage;b2;[ʹkʌv(ə)rıdʒ];noun
covered;b1;[ʹkʌvəd];adjective
cow;a1;[kaʋ];noun
crack;b2;[kræk];noun
crack;b2;[kræk];verb
craft;b2;[krɑ:ft];noun
craft;c1;[krɑ:ft];verb
crash;b2;[kræʃ];noun
crash;b2;[kræʃ];verb
crawl;c1;[krɔ:l];verb
crazy;a2;[ʹkreızı];adjective
cream;b1;[kri:m];adjective
cream;a1;[kri:m];noun
create;a1;[krıʹeıt];verb
creation;b2;[krıʹeıʃ(ə)n];noun
creative;a2;[krıʹeıtıv];adjective
creativity;b2;[͵kri:eıʹtıvıtı];noun
creator;c1;[krıʹeıtə];noun
creature;b2;[ʹkri:tʃə];noun
credibility;c1;[͵kredəʹbılıtı];noun
credible;c1;[ʹkredəb(ə)l];adjective
credit;a2;[ʹkredıt];noun
credit;b2;[ʹkredıt];verb
creep;c1;[kri:p];verb
crew;b2;[kru:];noun
crime;a2;[kraım];noun
criminal;b1;[ʹkrımın(ə)l];adjective
criminal;a2;[ʹkrımın(ə)l];noun
crisis;b2;[ʹkraısıs];noun
criterion;b2;[kraıʹtı(ə)rıən];noun
critic;b2;[ʹkrıtık];noun
critical;b2;[ʹkrıtık(ə)l];adjective
critically;b2;[ʹkrıtık(ə)lı];adverb
criticism;b2;[ʹkrıtısız(ə)m];noun
criticize;b2;[ʹkrıtısaız];verb
critique;c1;[krıʹti:k];noun
crop;b2;[krɒp];noun
cross;a2;[krɒs];noun
cross;a2;[krɒs];verb
crowd;a2;[kraʋd];noun
crowded;a2;[ʹkraʋdıd];adjective
crown;c1;[kraʋn];noun
crucial;b2;[ʹkru:ʃ(ə)l];adjective
crude;c1;[kru:d];adjective
cruel;b1;[ʹkru:əl];adjective
cruise;b2;[kru:z];noun
cruise;b2;[kru:z];verb
crush;c1;[krʌʃ];verb
cry;b2;[kraı];noun
cry;a2;[kraı];verb
crystal;c1;[ʹkrıstl];noun
cue;b2;[kju:];noun
cult;c1;[kʌlt];adjective
cult;c1;[kʌlt];noun
cultivate;c1;[ʹkʌltıveıt];verb
cultural;b1;[ʹkʌltʃ(ə)rəl];adjective
culture;a1;[ʹkʌltʃə];noun
cup;a1;[kʌp];noun
cupboard;a2;[ʹkʌpbəd];noun
cure;b2;[kjʋə];noun
cure;b2;[kjʋə];verb
curiosity;c1;[͵kjʋ(ə)rıʹɒsıtı];noun
curious;b2;[ʹkjʋ(ə)rıəs];adjective
curly;a2;[ʹkɜ:lı];adjective
currency;b1;[ʹkʌrənsı];noun
current;b1;[ʹkʌrənt];adjective
current;b2;[ʹkʌrənt];noun
currently;b1;[ʹkʌrəntlı];adverb
curriculum;b2;[kəʹrıkjʋləm];noun
curtain;b1;[ʹkɜ:tn];noun
curve;b2;[kɜ:v];noun
curve;b2;[kɜ:v];verb
curved;b2;[kɜ:vd];adjective
custody;c1;[ʹkʌstədı];noun
custom;b1;[ʹkʌstəm];noun
customer;a1;[ʹkʌstəmə];noun
cut;b1;[kʌt];noun
cut;a1;[kʌt];verb
cute;b2;[kju:t];adjective
cutting;c1;[ʹkʌtıŋ];noun
cycle;a2;[ʹsaık(ə)l];noun
cycle;a2;[ʹsaık(ə)l];verb
cynical;c1;[ʹsınık(ə)l];adjective
dad;a1;[dæd];noun
daily;a2;[ʹdeılı];adjective
daily;b1;[ʹdeılı];adverb
dairy;b2;[ʹdeərı];adjective
dairy;b2;[ʹdeərı];noun
dam;c1;[dæm];noun
damage;b1;[ʹdæmıdʒ];noun
damage;b1;[ʹdæmıdʒ];verb
damaging;c1;[ʹdæmıdʒıŋ];adjective
dance;a1;[dɑ:ns];noun
dance;a1;[dɑ:ns];verb
dancer;a1;[ʹdɑ:nsə];noun
dancing;a1;[ʹdɑ:nsıŋ];noun
danger;a2;[ʹdeındʒə];noun
dangerous;a1;[ʹdeındʒərəs];adjective
dare;b2;[deə];verb
dark;a1;[dɑ:k];adjective
dark;a2;[dɑ:k];noun
darkness;b2;[ʹdɑ:knıs];noun
data;a2;[ʹdeıtə];noun
database;b2;['deitəbeis];noun
date;a1;[deıt];noun
date;b2;[deıt];verb
daughter;a1;[ʹdɔ:tə];noun
dawn;c1;[dɔ:n];noun
day;a1;[deı];noun
dead;a2;[ded];adjective
deadline;b2;[ʹdedlaın];noun
deadly;b2;[ʹdedlı];adjective
deal;b1;[di:l];noun
deal;a2;[di:l];verb
dealer;b2;[ʹdi:lə];noun
dear;a1;[dıə];adjective
dear;a2;[dıə];exclamation
death;a2;[deθ];noun
debate;b2;[dıʹbeıt];noun
